Date and Time, Type, Callback, ch1_rate_filtered, ch1_rate_unfiltered, ch1_dose, ch1_alarm_high, ch1_alarm_low, ch2_rate_filtered, ch2_rate_unfiltered, ch2_dose, ch2_alarm_high, ch2_alarm_low, Leak Rate: Gallons/Day, Leak Rate: %Power Level, ch3_rate_filtered, ch3_rate_unfiltered, ch3_dose, ch3_alarm_high, ch3_alarm_low, ch4_rate_filtered, ch4_rate_unfiltered, ch4_dose, ch4_alarm_high, ch4_alarm_low                            , Checksum
2019-07-07, 15:53:02,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 3.63e+2, 1.73e+3, 2.45e+13, 100+8, 500+7, 315+5, 255+5, 453+10, 100+8, 500+7, 000+0, 000+0, 255+2, 240+2, 138+8, 100-10, 100-10, 740+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 4B}
2019-07-07, 15:53:03,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 4.05e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 321+5, 254+5, 453+10, 100+8, 500+7, 000+0, 000+0, 249+2, 330+2, 138+8, 100-10, 100-10, 760+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 71}
2019-07-07, 15:53:06,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 4.04e+2, 1.73e+3, 2.45e+13, 100+8, 500+7, 328+5, 511+5, 453+10, 100+8, 500+7, 000+0, 000+0, 252+2, 360+2, 138+8, 100-10, 100-10, 770+1, 120+2, 480+7, 100-10, 100-10, 41C1C0020, 45}
2019-07-07, 15:53:08,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 4.47e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 337+5, 384+5, 453+10, 100+8, 500+7, 000+0, 000+0, 251+2, 270+2, 138+8, 100-10, 100-10, 790+1, 900+1, 480+7, 100-10, 100-10, 41C1C0020, 70}
2019-07-07, 15:53:10,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 3.64e+2, 4.88e+2, 2.45e+13, 100+8, 500+7, 327+5, 255+5, 453+10, 100+8, 500+7, 000+0, 000+0, 255+2, 330+2, 138+8, 100-10, 100-10, 770+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 48}
2019-07-07, 15:53:16,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 3.22e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 314+5, 127+5, 453+10, 100+8, 500+7, 000+0, 000+0, 249+2, 330+2, 138+8, 100-10, 100-10, 740+1, 300+1, 480+7, 100-10, 100-10, 41C1C0020, 75}
2019-07-07, 15:53:19,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 3.22e+2, 2.98e+3, 2.45e+13, 100+8, 500+7, 298+5, 128+5, 453+10, 100+8, 500+7, 000+0, 000+0, 253+2, 330+2, 138+8, 100-10, 100-10, 700+1, 300+1, 480+7, 100-10, 100-10, 41C1C0020, 44}
2019-07-07, 15:53:19,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 3.22e+2, 2.98e+3, 2.45e+13, 100+8, 500+7, 294+5, 255+5, 453+10, 100+8, 500+7, 000+0, 000+0, 245+2, 240+2, 138+8, 100-10, 100-10, 690+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 4D}
2019-07-07, 15:53:20,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 2.80e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 294+5, 255+5, 453+10, 100+8, 500+7, 000+0, 000+0, 245+2, 240+2, 138+8, 100-10, 100-10, 690+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 70}
2019-07-07, 15:53:22,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 2.80e+2, 4.88e+2, 2.45e+13, 100+8, 500+7, 267+5, 100-12, 453+10, 100+8, 500+7, 000+0, 000+0, 244+2, 120+2, 138+8, 100-10, 100-10, 630+1, 600-11, 480+7, 100-10, 100-10, 41C1C0020, 44}
2019-07-07, 15:53:23,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.97e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 265+5, 128+5, 453+10, 100+8, 500+7, 000+0, 000+0, 256+2, 600+2, 138+8, 100-10, 100-10, 620+1, 300+1, 480+7, 100-10, 100-10, 41C1C0020, 7E}
2019-07-07, 15:53:26,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.97e+2, 2.97e+3, 2.45e+13, 100+8, 500+7, 259+5, 127+5, 453+10, 100+8, 500+7, 000+0, 000+0, 259+2, 180+2, 138+8, 100-10, 100-10, 610+1, 300+1, 480+7, 100-10, 100-10, 41C1C0020, 46}
2019-07-07, 15:53:27,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.55e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 251+5, 128+5, 453+10, 100+8, 500+7, 000+0, 000+0, 255+2, 240+2, 138+8, 100-10, 100-10, 590+1, 300+1, 480+7, 100-10, 100-10, 41C1C0020, 7C}
2019-07-07, 15:53:30,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 2.39e+2, 2.98e+3, 2.45e+13, 100+8, 500+7, 247+5, 100-12, 453+10, 100+8, 500+7, 000+0, 000+0, 260+2, 270+2, 138+8, 100-10, 100-10, 580+1, 600-11, 480+7, 100-10, 100-10, 41C1C0020, 4A}
2019-07-07, 15:54:02,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 2.40e+2, 1.73e+3, 2.45e+13, 100+8, 500+7, 285+5, 255+5, 453+10, 100+8, 500+7, 000+0, 000+0, 271+2, 240+2, 138+8, 100-10, 100-10, 670+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 47}
2019-07-07, 15:54:04,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 2.39e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 284+5, 255+5, 453+10, 100+8, 500+7, 000+0, 000+0, 269+2, 270+2, 138+8, 100-10, 100-10, 670+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 70}
2019-07-07, 15:54:05,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.97e+2, 4.87e+2, 2.45e+13, 100+8, 500+7, 268+5, 100-12, 453+10, 100+8, 500+7, 000+0, 000+0, 266+2, 270+2, 138+8, 100-10, 100-10, 630+1, 600-11, 480+7, 100-10, 100-10, 41C1C0020, 47}
2019-07-07, 15:54:08,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.56e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 263+5, 255+5, 453+10, 100+8, 500+7, 000+0, 000+0, 265+2, 240+2, 138+8, 100-10, 100-10, 620+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 79}
2019-07-07, 15:54:11,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.56e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 256+5, 100-12, 453+10, 100+8, 500+7, 000+0, 000+0, 266+2, 360+2, 138+8, 100-10, 100-10, 600+1, 600-11, 480+7, 100-10, 100-10, 41C1C0020, 79}
2019-07-07, 15:54:11,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.57e+2, 4.89e+2, 2.45e+13, 100+8, 500+7, 256+5, 100-12, 453+10, 100+8, 500+7, 000+0, 000+0, 266+2, 360+2, 138+8, 100-10, 100-10, 600+1, 600-11, 480+7, 100-10, 100-10, 41C1C0020, 4B}
2019-07-07, 15:54:12,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 1.56e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 259+5, 383+5, 453+10, 100+8, 500+7, 000+0, 000+0, 264+2, 270+2, 138+8, 100-10, 100-10, 610+1, 900+1, 480+7, 100-10, 100-10, 41C1C0020, 74}
2019-07-07, 15:54:14,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 2.81e+2, 4.22e+3, 2.45e+13, 100+8, 500+7, 269+5, 256+5, 453+10, 100+8, 500+7, 000+0, 000+0, 266+2, 270+2, 138+8, 100-10, 100-10, 630+1, 600+1, 480+7, 100-10, 100-10, 41C1C0020, 4B}
2019-07-07, 15:54:16,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 2.80e+2, 1.00e-12, 2.45e+13, 100+8, 500+7, 276+5, 382+5, 453+10, 100+8, 500+7, 000+0, 000+0, 266+2, 330+2, 138+8, 100-10, 100-10, 650+1, 900+1, 480+7, 100-10, 100-10, 41C1C0020, 73}
2019-07-07, 15:54:18,, P.1e, 0.12e45689BCDMNVWYZaOdghin, 4.30e00000020, 3.63e+2, 5.46e+3, 2.45e+13, 100+8, 500+7, 276+5, 127+5, 453+10, 100+8, 500+7, 000+0, 000+0, 261+2, 180+2, 138+8, 100-10, 100-10, 650+1, 300+1, 480+7, 100-10, 100-10, 41C1C0020, 46}
